date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:17	103638/103638	---M--	200	added ('OK')	text/css	etag:%22194d6-595f97280eb00%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.7.5	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/css/frontend.min206d.css	(from http://localhost/9Spares/)
18:35:19	84/84	---M--	200	added ('OK')	text/css	etag:%2254-596c9b38a66be%22	http://localhost/9Spares/wp-content/uploads/elementor/css/global.css?ver=1573167928	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/uploads/elementor/css/global09e8.css	(from http://localhost/9Spares/)
18:35:21	39458/39458	---M--	200	added ('OK')	text/css	etag:%229a22-59702040fb47f%22	http://localhost/9Spares/wp-content/uploads/elementor/css/post-550.css?ver=1573409797	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/uploads/elementor/css/post-5500df4.css	(from http://localhost/9Spares/)
18:35:28	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://localhost/9Spares/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/9Spares/)
18:35:30	1776/1776	---M--	200	added ('OK')	application/javascript	etag:%226f0-597017171df0f%22	http://localhost/9Spares/wp-content/plugins/woo-m-pesa-payment-gateway/trxcheck.js?ver=5.2.4	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woo-m-pesa-payment-gateway/trxcheck4d2c.js	(from http://localhost/9Spares/)
18:35:31	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-589186fe43340%22	http://localhost/9Spares/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-includes/js/jquery/jquery4a5f.js	(from http://localhost/9Spares/)
18:35:45	810/810	---M--	200	added ('OK')	text/xml	date:Fri,%2024%20Jan%202020%2015:35:31%20GMT	http://localhost/9Spares/xmlrpc.php?rsd	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/xmlrpc0db0.php	(from http://localhost/9Spares/)
18:35:54	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/9Spares/wp-includes/wlwmanifest.xml	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-includes/wlwmanifest.xml	(from http://localhost/9Spares/)
18:36:35	2177/2177	---M--	200	added ('OK')	application/json	date:Fri,%2024%20Jan%202020%2015:35:55%20GMT	http://localhost/9Spares/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F9Spares%2F	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-json/oembed/1.0/embed9227.json	(from http://localhost/9Spares/)
18:36:48	2272/2272	---M--	200	added ('OK')	text/xml	date:Fri,%2024%20Jan%202020%2015:36:35%20GMT	http://localhost/9Spares/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F9Spares%2F&format=xml	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-json/oembed/1.0/embed2420	(from http://localhost/9Spares/)
18:36:55	54153/54153	---M--	200	added ('OK')	image/jpeg	etag:%22d389-596c91f527da7%22	http://localhost/9Spares/wp-content/uploads/2019/11/carparts.jpg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/uploads/2019/11/carparts.jpg	(from http://localhost/9Spares/)
18:36:56	442/442	---M--	200	added ('OK')	image/png	etag:%221ba-596bfe30cde33%22	http://localhost/9Spares/wp-content/uploads/2019/11/quote-free-img.png	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/uploads/2019/11/quote-free-img.png	(from http://localhost/9Spares/)
18:37:14	53471/53471	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:36:57%20GMT	http://localhost/9Spares/product-category/toyota/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/product-category/toyota/index.html	(from http://localhost/9Spares/)
18:37:14	52975/52975	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:36:50%20GMT	http://localhost/9Spares/product-category/mercedes/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/product-category/mercedes/index.html	(from http://localhost/9Spares/)
18:37:16	89947/89947	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:36:48%20GMT	http://localhost/9Spares/store/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/store/index.html	(from http://localhost/9Spares/)
18:37:23	709665/709665	---MC-	200	added ('OK')	application/json	date:Fri,%2024%20Jan%202020%2015:35:31%20GMT	http://localhost/9Spares/wp-json/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-json/index.html	(from http://localhost/9Spares/)
18:37:24	13049/13049	---M--	200	added ('OK')	text/css	etag:%2232f9-5973a211b6fa1%22	http://localhost/9Spares/wp-content/uploads/elementor/css/post-285.css?ver=1573650802	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/uploads/elementor/css/post-2850426.css	(from http://localhost/9Spares/)
18:37:31	53127/53127	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:37:15%20GMT	http://localhost/9Spares/product-category/bmw/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/product-category/bmw/index.html	(from http://localhost/9Spares/)
18:37:33	54540/54540	---M--	200	added ('OK')	text/css	etag:%22d50c-58c4a50c35380%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from http://localhost/9Spares/)
18:37:34	78664/78664	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:37:17%20GMT	http://localhost/9Spares/about-us/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/about-us/index.html	(from http://localhost/9Spares/)
18:37:35	660/660	---M--	200	added ('OK')	text/css	etag:%22294-58c4a50c35380%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.9.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minad76.css	(from http://localhost/9Spares/)
18:37:36	186612/186612	---M--	200	added ('OK')	image/jpeg	etag:%222d8f4-596d5e22110a1%22	http://localhost/9Spares/wp-content/uploads/2019/11/android-9-0-2g-16g-car-stereo.jpg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/uploads/2019/11/android-9-0-2g-16g-car-stereo.jpg	(from http://localhost/9Spares/)
18:37:36	62665/62665	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:37:25%20GMT	http://localhost/9Spares/contact-us/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/contact-us/index.html	(from http://localhost/9Spares/)
18:37:37	667/667	---M--	200	added ('OK')	text/css	etag:%2229b-58c4a50c35380%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.9.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.1cad76.delayed	(from http://localhost/9Spares/)
18:37:49	44146/44146	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:37:33%20GMT	http://localhost/9Spares/my-account/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/my-account/index.html	(from http://localhost/9Spares/)
18:37:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Jan%202020%2015:37:37%20GMT	http://localhost/9Spares/?page_id=3&preview=true	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/indexa0ee.html	(from http://localhost/9Spares/)
18:37:54	10312/10312	---M--	200	added ('OK')	application/javascript	etag:%222848-595011044bf00%22	http://localhost/9Spares/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.1.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/themes/astra/assets/js/minified/style.min431f.js	(from http://localhost/9Spares/)
18:37:57	9566/9566	---M--	200	added ('OK')	application/javascript	etag:%22255e-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://localhost/9Spares/)
18:37:57	85395/85395	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:37:35%20GMT	http://localhost/9Spares/cart/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/cart/index.html	(from http://localhost/9Spares/)
18:38:01	2750/2750	---M--	200	added ('OK')	application/javascript	etag:%22abe-58dcd10d8a980%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.8.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min9e95.js	(from http://localhost/9Spares/)
18:38:08	1846/1846	---M--	200	added ('OK')	application/javascript	etag:%22736-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from http://localhost/9Spares/)
18:38:13	1472/1472	---M--	200	added ('OK')	application/javascript	etag:%225c0-5853aee68db80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.8.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min9e95.js	(from http://localhost/9Spares/)
18:38:13	2940/2940	---M--	200	added ('OK')	application/javascript	etag:%22b7c-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.8.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min9e95.js	(from http://localhost/9Spares/)
18:38:13	60107/60107	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2015:37:37%20GMT	http://localhost/9Spares/product/car-gps-navigation-system/	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/product/car-gps-navigation-system/index.html	(from http://localhost/9Spares/)
18:38:16	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%2257b-574a661196280%22	http://localhost/9Spares/wp-includes/js/wp-embed.min.js?ver=5.2.4	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-includes/js/wp-embed.min4d2c.js	(from http://localhost/9Spares/)
18:38:17	6527/6527	---M--	200	added ('OK')	application/javascript	etag:%22197f-5405eff119880%22	http://localhost/9Spares/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-includes/js/jquery/ui/position.mine899.js	(from http://localhost/9Spares/)
18:38:18	10681/10681	---M--	200	added ('OK')	application/javascript	etag:%2229b9-58ddf6b998580%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.3	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/dialog/dialog.minfe9d.js	(from http://localhost/9Spares/)
18:38:18	47151/47151	---M--	200	added ('OK')	application/javascript	etag:%22b82f-595f97280eb00%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.7.5	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/js/frontend-modules.min206d.js	(from http://localhost/9Spares/)
18:38:21	12198/12198	---M--	200	added ('OK')	application/javascript	etag:%222fa6-545d1acbb7100%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from http://localhost/9Spares/)
18:38:28	1676/1676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.eot	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.eot	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:29	1676/1676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.eot?	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/stard41d.eot	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:31	1304/1304	---M--	200	added ('OK')	font/woff	etag:%22518-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.woff	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.woff	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:34	1512/1512	---M--	200	added ('OK')	font/ttf	etag:%225e8-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.ttf	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.ttf	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:35	125578/125578	---M--	200	added ('OK')	application/javascript	etag:%221ea8a-586040a65fb00%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=4.4.6	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/swiper/swiper.min4f24.js	(from http://localhost/9Spares/)
18:38:35	929/929	---M--	200	added ('OK')	image/svg+xml	etag:%223a1-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/star.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:37	94019/94019	---M--	200	added ('OK')	application/javascript	etag:%2216f43-595f97280eb00%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.7.5	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/js/frontend.min206d.js	(from http://localhost/9Spares/)
18:38:38	14280/14280	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237c8-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:40	14280/14280	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237c8-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot?	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerced41d.eot	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:42	14176/14176	---M--	200	added ('OK')	font/woff	etag:%223760-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:43	14100/14100	---M--	200	added ('OK')	font/ttf	etag:%223714-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.ttf	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.ttf	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:44	46770/46770	---M--	200	added ('OK')	image/svg+xml	etag:%22b6b2-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:45	158/158	---M--	200	added ('OK')	image/svg+xml	etag:%229e-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/loader.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/loader.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:46	547/547	---M--	200	added ('OK')	image/png	etag:%22223-56cdeb217d880%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.png	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.png	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:50	1359/1359	---M--	200	added ('OK')	image/svg+xml	etag:%2254f-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/visa.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/visa.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:52	4634/4634	---M--	200	added ('OK')	image/svg+xml	etag:%22121a-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/mastercard.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/mastercard.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:53	3110/3110	---M--	200	added ('OK')	image/svg+xml	etag:%22c26-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/laser.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/laser.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:54	804/804	---M--	200	added ('OK')	image/svg+xml	etag:%22324-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/diners.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/diners.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:56	6797/6797	---M--	200	added ('OK')	image/svg+xml	etag:%221a8d-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:57	2800/2800	---M--	200	added ('OK')	image/svg+xml	etag:%22af0-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:58	4662/4662	---M--	200	added ('OK')	image/svg+xml	etag:%221236-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/amex.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/amex.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:38:59	2185/2185	---M--	200	added ('OK')	image/svg+xml	etag:%22889-584269c551a80%22	http://localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	(from http://localhost/9Spares/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=2.1.2)
18:39:16	70048/70048	---M--	200	added ('OK')	font/woff2	etag:%22111a0-5911910f11c00%22	http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.4.0	C:/Users/BRYO/Desktop/9Spares/localhost/9Spares/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons4310.woff2	(from http://localhost/9Spares/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.4.0)
